"Hm0","THp","Tm01","Tm02","Tp","U10","wind_dir"
3.7,304.8,10.9,9.8,12.2,6.9,197.1
3.4,228.3,10.7,9.6,11.8,8.4,174.7
3.1,228.3,10.3,8.6,11.6,10.6,165.7
3.1,227.7,9.1,6.8,11.5,11.5,174.9
3.2,225.2,8.1,6.2,11.5,12.2,195.4
3.3,224.1,7.8,6.2,7.8,12.6,194
3.5,224.3,7.8,6.4,8.6,13.8,178.2
4.4,204.5,8.1,6.8,9,18.9,177.4
6.1,211.3,9.2,7.8,10.2,20,202.8
6.8,219.5,10.2,8.7,11.3,17.7,211.8
6.8,223.1,10.5,9,11.8,18.5,214.1
